City,Tags,State,Old_age,Young_age,link 1,Avg Expense Per Day,historical & heritage,city,pilgrimage,hill station,beach,lake & backwater,adventure / trekking,wildlife,waterfall,nature & scenic,Image Link
Palakkad,Lake & Backwater | Nature & Scenic,Kerala,1,1,https://www.holidify.com/places/palakkad,,0,0,0,0,0,1,0,0,0,1,https://k6u8v6y8.stackpathcdn.com/blog/wp-content/uploads/2015/10/Best-Places-to-visit-in-Palakkad-Kerala.jpg
Thalassery,Historical & Heritage | Nature & Scenic,Kerala,1,1,https://www.holidify.com/places/thalaserry-tellicherry,,1,0,0,0,0,0,0,0,0,1,https://davidsbeenhere.com/wp-content/uploads/2020/04/5-things-you-must-do-in-thalassery-kerala-india-asia-davidsbeenhere18.jpg
Nelliyampathy,Hill Station | Nature & Scenic,Kerala,0,1,https://www.holidify.com/places/nelliyampathy,,0,0,0,1,0,0,0,0,0,1,https://www.keralatourism.org/images/malabar/static-banner/large/Nelliyampathy-25102019111300.JPG
Vythiri,Wildlife | Waterfall | Nature & Scenic,Kerala,0,1,https://www.holidify.com/places/vythiri,,0,0,0,0,0,0,0,1,1,1,https://cdn0.weddingwire.in/emp/fotos/7/6/9/0/r10_2x_paradise.jpg
Nilambur,Nature & Scenic | Wildlife | Waterfall,Kerala,0,1,https://www.holidify.com/places/nilambur,,0,0,0,0,0,0,0,1,1,1,https://www.weekendthrill.com/wp-content/uploads/2016/07/Nilamber-compressed.jpg
Kalpetta,Nature & Scenic,Kerala,1,1,https://www.holidify.com/places/kalpetta,,0,0,0,0,0,0,0,0,0,1,https://blog.sotc.in/wp-content/uploads/2018/08/Heart_shaped_pond_Wayanad-1024x683.jpg
Muthanga Wildlife Sanctuary,Wildlife,Kerala,0,1,https://www.holidify.com/places/muthanga-wildlife-sanctuary/,,0,0,0,0,0,0,0,1,0,0,http://puzhamoolafarmvillas.com/images/attractions/muthanga-wildlife-banner.jpg
Kannur,Historical & Heritage | Nature & Scenic | Beach,Kerala,1,1,https://www.holidify.com/places/kannur,,1,0,0,0,1,0,0,0,0,1,https://www.thehindu.com/news/national/kerala/83tkmt/article25883708.ece/ALTERNATES/LANDSCAPE_1200/02tvkr-palakkayamthattu
Sanchi,Historical & Heritage | Pilgrimage,Madhya Pradesh,1,1,https://www.holidify.com/places/sanchi,,1,0,1,0,0,0,0,0,0,0,https://travelandtrekking.com/wp-content/uploads/2018/01/Sanchi-Stupa-Madhya-Pradesh-picsc.jpg
Ujjain,Historical & Heritage | Pilgrimage,Madhya Pradesh,1,1,https://www.holidify.com/places/ujjain,,1,0,1,0,0,0,0,0,0,0,https://www.tripsavvy.com/thmb/ifcTO72kY6g1thLUzQaPqQs-it8=/3355x2516/smart/filters:no_upscale()/GettyImages-126924479-5b840d6746e0fb0050b92c08.jpg
